name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
madrid,2022-09-23,27,15.9,21.8,26.5,15.9,21.7,9.5,50.5,0,0,0,,0,0,28.8,19.6,225,1015.2,51.3,16.7,197.5,17.1,7,10,2022-09-23T08:03:06,2022-09-23T20:10:38,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-09-24,24.8,15.2,19.9,24.8,15.2,19.9,7,44.2,0,0,0,,0,0,37.4,18.8,304.1,1011.9,64.7,16.6,208.6,18.2,7,10,2022-09-24T08:04:04,2022-09-24T20:08:57,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,D4212,08226099999,F7959,08219099999,08223099999,08215099999"
madrid,2022-09-25,20.6,11.6,16.3,20.6,11.6,16.3,4.2,46.8,0,0,0,,0,0,42.1,18.3,34.8,1012.7,61.9,16.7,188.3,16.3,7,10,2022-09-25T08:05:03,2022-09-25T20:07:17,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,F7959,08219099999,08223099999,08215099999"
madrid,2022-09-26,22.1,11.5,16.4,22.1,11.5,16.4,3.9,45.2,0,0,0,,0,0,37.1,15.5,9.5,1014,36.6,17.1,227,19.6,7,10,2022-09-26T08:06:02,2022-09-26T20:05:37,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08213099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-09-27,23.3,7.9,16.4,23.3,7.9,16.4,4.6,48.3,0,0,0,,0,0,35.3,15.6,313.7,1016,8.9,16.7,234,20.2,7,10,2022-09-27T08:07:01,2022-09-27T20:03:57,0.05,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,D4212,08226099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-09-28,22.5,11.2,17.2,22.5,11.2,17.2,6.1,49.4,0,0,0,,0,0,46.4,26.2,285.1,1013.9,42.8,16.9,182.6,15.9,7,10,2022-09-28T08:08:00,2022-09-28T20:02:17,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-09-29,18.2,11.2,14.4,18.2,11.2,14.4,7.5,63.8,0.183,100,16.67,rain,0,0,46.4,26.3,273.1,1008.8,73.7,16.2,90.6,7.9,5,10,2022-09-29T08:09:00,2022-09-29T20:00:37,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-09-30,19.9,8.6,14.3,19.9,7.6,14.2,4.3,53.3,0.599,100,12.5,rain,0,0,26.3,15.9,0.2,1015,21.7,16.7,231.3,20,7,10,2022-09-30T08:10:00,2022-09-30T19:58:58,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-10-01,23.4,8.3,15.5,23.4,8.3,15.5,4,50.1,0,0,0,,0,0,15.1,9.4,326.1,1024.4,13.9,16.5,208,18,7,10,2022-10-01T08:11:00,2022-10-01T19:57:19,0.2,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-10-02,27.7,11.2,18.8,26.4,11.2,18.6,2.7,39.2,0,0,0,,0,0,19.4,10.8,14.9,1025,17.3,16.7,207,18,7,10,2022-10-02T08:12:00,2022-10-02T19:55:40,0.23,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,D4212,08226099999,F7959,08219099999,08223099999,08215099999"
madrid,2022-10-03,28.1,13.4,20.2,26.8,13.4,19.9,1.8,30.8,0,0,0,,0,0,29.5,8.9,334.4,1021.2,68.5,15.7,166.8,14.4,6,10,2022-10-03T08:13:00,2022-10-03T19:54:02,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-10-04,29.2,13.8,20.9,27.6,13.8,20.6,5,37.6,0,0,0,,0,0,14.4,9.2,312.5,1020.1,1.3,14.6,199.4,17.3,7,10,2022-10-04T08:14:01,2022-10-04T19:52:24,0.3,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-10-05,27.5,14.8,20.7,26.8,14.8,20.7,7.9,44.3,0,0,0,,0,0,17.3,9.2,15.8,1021.3,0.4,13.5,183,15.8,7,10,2022-10-05T08:15:02,2022-10-05T19:50:47,0.34,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-10-06,25.6,15.3,20.2,25.6,15.3,20.2,10.1,53.8,0,0,0,,0,0,22.3,9.2,83.1,1024.1,7.7,15.5,197.2,17,7,10,2022-10-06T08:16:03,2022-10-06T19:49:10,0.38,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-10-07,23.4,13.5,18.3,23.4,13.5,18.3,10.9,63.8,0,0,0,,0,0,20.2,11.7,65.3,1021.6,39.5,16.1,188.5,16.5,7,10,2022-10-07T08:17:04,2022-10-07T19:47:34,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-10-08,24.9,13,18.9,24.9,13,18.9,9.5,56.7,0,0,0,,0,0.1,18.7,8.2,18.1,1017.9,27.1,15.6,178.6,15.3,7,10,2022-10-08T08:18:06,2022-10-08T19:45:58,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,F7959,08219099999,08223099999,08215099999"
madrid,2022-10-09,24.1,15.1,19,24.1,15.1,19,11,61.1,0.003,100,4.17,rain,0,0.1,17.3,10.5,73.5,1016.5,45,16.3,185.2,16,7,10,2022-10-09T08:19:08,2022-10-09T19:44:23,0.5,"Rain, Partially cloudy",Clearing in the afternoon with afternoon rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,F7959,08219099999,08223099999,08215099999"
madrid,2022-10-10,20.2,14.7,16.7,20.2,14.7,16.7,12.5,76.6,3.012,100,25,rain,0,0,26.6,14.2,32.4,1017.3,74.8,12.9,89.4,7.7,6,10,2022-10-10T08:20:10,2022-10-10T19:42:48,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,F7959,08223099999,08215099999"
madrid,2022-10-11,21.5,14.9,17.3,21.5,14.9,17.3,13.7,80.4,1.996,100,29.17,rain,0,0,19.8,10.3,19.4,1018.7,68.3,14.5,127.6,11.1,7,10,2022-10-11T08:21:13,2022-10-11T19:41:14,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,F7959,08223099999,08215099999"
madrid,2022-10-12,23,12.5,17.2,23,12.5,17.2,11.9,73.3,1.774,100,4.17,rain,0,0,22.3,9.5,350.5,1020.8,20.7,15.8,191.8,16.7,7,10,2022-10-12T08:22:16,2022-10-12T19:39:41,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,F7959,08219099999,08223099999,08215099999"
madrid,2022-10-13,24.1,12.3,17.8,24.1,12.3,17.8,10.4,64.4,0,0,0,,0,0,16.2,10,325.2,1023.5,28.6,15.6,173.5,14.9,7,10,2022-10-13T08:23:19,2022-10-13T19:38:08,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-10-14,26.5,12.2,18.6,26.5,12.2,18.6,9,57.1,0,0,0,,0,0,16.2,10.5,239.6,1022.1,15.2,15.8,201,17.4,8,10,2022-10-14T08:24:23,2022-10-14T19:36:36,0.65,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,LETO,08219099999,F7959,08223099999,08215099999"
madrid,2022-10-15,26.3,12.5,18.8,26.3,12.5,18.8,8.1,53,0.008,100,8.33,rain,0,0.3,20.9,17.2,236.3,1016.1,10.7,16.1,187,16.2,6,10,2022-10-15T08:25:27,2022-10-15T19:35:05,0.68,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,F7959,08219099999,08223099999,08215099999"
madrid,2022-10-16,24.5,12.3,18.4,24.5,12.3,18.4,8.5,53.9,0,0,0,,0,0.4,25.2,14.2,238.1,1016.4,55.6,15.8,162.2,14.1,7,10,2022-10-16T08:26:31,2022-10-16T19:33:34,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-10-17,25.8,14.9,19.4,25.8,14.9,19.4,12.3,66.1,1.581,100,12.5,rain,0,0.1,47.2,13.1,5.5,1020.3,48.9,14.9,137.7,11.8,6,10,2022-10-17T08:27:36,2022-10-17T19:32:05,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,F7959,08223099999,08215099999"
madrid,2022-10-18,27.7,14.4,20,27.1,14.4,20,11.5,61.5,0,0,0,,0,0,26.3,11.5,350.9,1022,38,13.7,173.1,14.9,7,10,2022-10-18T08:28:40,2022-10-18T19:30:36,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,F7959,08223099999,08215099999"
madrid,2022-10-19,24.4,15.2,19.6,24.4,15.2,19.6,9.3,52.7,0.232,100,20.83,rain,0,0,87.1,43.1,212.8,1017.6,60.6,13,100.8,8.6,4,10,2022-10-19T08:29:46,2022-10-19T19:29:09,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-10-20,20.1,14,16.9,20.1,14,16.9,10.1,66,2.948,100,37.5,rain,0,0,109.4,33.7,187.4,1014.3,78.5,15.1,25.5,2.3,1,10,2022-10-20T08:30:51,2022-10-20T19:27:42,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-10-21,17.9,14,15.6,17.9,14,15.6,13.2,86,4.356,100,58.33,rain,0,0,45,22.2,199,1015.3,83.8,14.6,44.3,3.7,2,10,2022-10-21T08:31:57,2022-10-21T19:26:16,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,F7959,08223099999,08215099999"
madrid,2022-10-22,22,12,16.1,22,12,16.1,12.9,83.3,3.424,100,58.33,rain,0,0.2,90.7,36,177.3,1015.4,72.7,13.3,122.5,10.5,7,10,2022-10-22T08:33:03,2022-10-22T19:24:51,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,F7959,08219099999,08223099999,08215099999"
madrid,2022-10-23,16.5,14.2,15.3,16.5,14.2,15.3,13,86.5,2.796,100,54.17,rain,0,0.1,120.6,27,199.2,1015.4,79,14.9,54.9,4.8,3,10,2022-10-23T08:34:10,2022-10-23T19:23:27,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-10-24,17.2,11.8,14.5,17.2,11.8,14.5,11.8,84.9,0,0,0,rain,0,0,22,6.4,225.3,1019.2,64.6,12,94,8,5,10,2022-10-24T08:35:17,2022-10-24T19:22:05,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,F7959,08223099999,08215099999"
madrid,2022-10-25,23.1,12.6,16.7,23.1,12.6,16.7,10.4,69.2,0,0,0,,0,0,60.1,24.3,262.5,1017.1,73.3,15.3,99.2,8.6,5,10,2022-10-25T08:36:24,2022-10-25T19:20:43,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-10-26,22.7,13,17.4,22.7,13,17.4,10.9,67.5,0,0,0,,0,0,33.1,10.4,52.1,1019.9,71.6,16,129.7,11.1,7,10,2022-10-26T08:37:32,2022-10-26T19:19:23,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-10-27,23.9,15.7,19.2,23.9,15.7,19.2,9.3,54.4,0,0,0,,0,0,76,14.5,359.2,1021.2,86.1,15.3,95.5,8.3,5,10,2022-10-27T08:38:40,2022-10-27T19:18:03,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,08215099999"
madrid,2022-10-28,24.1,13.6,18.3,24.1,13.6,18.3,8.8,55.1,0.004,100,4.17,rain,0,0,22,10.1,2.9,1023.3,89.1,14.3,100.9,8.7,5,10,2022-10-28T08:39:48,2022-10-28T19:16:45,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,08213099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-10-29,24,13.3,18.2,24,13.3,18.2,7.4,50.8,0,0,0,,0,0,20.5,10.3,37.2,1020.4,88.5,15.5,144.4,12.5,7,10,2022-10-29T08:40:56,2022-10-29T19:15:29,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,F7959,08219099999,08223099999,08215099999"
madrid,2022-10-30,19.2,12.1,15.3,19.2,12.1,15.3,9.2,67.8,0.033,100,4.17,rain,0,0.1,38.5,10.7,312.5,1019.4,69.9,14.6,78.6,7.1,4,10,2022-10-30T07:42:05,2022-10-30T18:14:13,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,F7959,08219099999,08223099999,08215099999"
madrid,2022-10-31,16,11,13.5,16,11,13.5,10.7,83.4,0.634,100,37.5,rain,0,0.2,76,17.7,244.1,1019.5,72.8,13.8,30.9,2.8,1,10,2022-10-31T07:43:14,2022-10-31T18:12:59,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,F7959,08219099999,08223099999,08215099999"
madrid,2022-11-01,20.1,12.5,15.3,20.1,12.5,15.3,11.3,78.4,0.005,100,4.17,rain,0,0.1,21.6,9.4,219.3,1023,68,14.2,148,12.7,6,10,2022-11-01T07:44:23,2022-11-01T18:11:46,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,F7959,08219099999,08223099999,08215099999"
madrid,2022-11-02,20.5,9.9,14.8,20.5,9.9,14.8,9.1,70.6,0,0,0,,0,0,19.4,9.1,323.9,1023.2,48,16.2,141.7,12.3,6,10,2022-11-02T07:45:33,2022-11-02T18:10:35,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,F7959,08219099999,08223099999,08215099999"
madrid,2022-11-03,17,12.3,13.8,17,12.3,13.8,9.4,76.4,1.136,100,54.17,rain,0,0,41,31.7,225.6,1019.2,76.4,15,92.2,7.9,7,10,2022-11-03T07:46:42,2022-11-03T18:09:25,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"08221099999,08224099999,LEMD,LEVS,D4212,08226099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-11-04,16.3,8,11.8,16.3,6.4,11.5,4.5,64.7,0.089,100,4.17,rain,0,0,27,13.5,319.9,1021.5,57.6,14.3,154,13.2,6,10,2022-11-04T07:47:52,2022-11-04T18:08:17,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-11-05,17.1,3.5,9.7,17.1,3.5,9.6,2.5,63.6,0,0,0,,0,0.4,10.1,6.3,332.1,1023,0.1,16,139.1,12.2,6,10,2022-11-05T07:49:02,2022-11-05T18:07:10,0.39,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,F7959,08219099999,08223099999,08215099999"
madrid,2022-11-06,18.6,4.2,10.5,18.6,4.2,10.5,3.7,65.9,0,0,0,,0,0.2,16.9,11.2,273.7,1020.4,14,16.1,138.7,12,6,10,2022-11-06T07:50:12,2022-11-06T18:06:05,0.43,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,F7959,08219099999,08223099999,08215099999"
madrid,2022-11-07,18.2,6.3,11.4,18.2,6.3,11.4,6.2,72.1,0,0,0,,0,0,15.5,9.9,293.8,1019.9,36.4,15.5,110.9,9.6,6,10,2022-11-07T07:51:22,2022-11-07T18:05:01,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,08215099999"
madrid,2022-11-08,15.7,9.3,12.7,15.7,9,12.6,8.5,75.9,0.086,100,29.17,rain,0,0,19.8,18.9,198.8,1017.2,79.6,14.4,42.6,3.6,2,10,2022-11-08T07:52:33,2022-11-08T18:03:59,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-11-09,15.4,9.5,12.5,15.4,9.5,12.5,11,90.9,5.858,100,50,rain,0,0,25.9,14.3,222.4,1019.5,63.9,14.2,55,4.7,4,10,2022-11-09T07:53:43,2022-11-09T18:02:59,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,08219099999,F7959,08213099999,08223099999,08215099999"
madrid,2022-11-10,17.2,5.5,10.7,17.2,5.5,10.7,6.9,79.8,0,0,0,,0,0,14,8,356.4,1024.9,4,14.6,140.3,12,5,10,2022-11-10T07:54:54,2022-11-10T18:02:00,0.56,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,08213099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-11-11,16.1,7.1,11.4,16.1,6.4,11,7.5,77.7,0.36,100,12.5,rain,0,0,83.5,14.7,44.3,1025,45.7,16.1,77,6.7,6,10,2022-11-11T07:56:04,2022-11-11T18:01:03,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-11-12,19.1,11.5,13.8,19.1,11.5,13.8,9.8,77.2,4.092,100,70.83,rain,0,0.2,103.7,28.9,82.6,1022.6,63.7,14.5,56.3,4.8,6,10,2022-11-12T07:57:15,2022-11-12T18:00:08,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-11-13,17.3,9.9,12.9,17.3,9.9,12.9,9.7,81,0.223,100,4.17,rain,0,0.1,16.2,8.3,6.8,1020.8,55.2,15.2,107.8,9.3,5,10,2022-11-13T07:58:25,2022-11-13T17:59:14,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,F7959,08219099999,08223099999,08215099999"
madrid,2022-11-14,15.7,9.1,12.1,15.7,8.7,12,10.5,90,0.158,100,29.17,rain,0,0,32.4,24.1,218.8,1019,79.7,12.2,52,4.5,6,10,2022-11-14T07:59:35,2022-11-14T17:58:23,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-11-15,15.3,12.2,13.3,15.3,12.2,13.3,11.5,89.5,1.149,100,16.67,rain,0,0,50.8,35.8,218.9,1013.9,88.8,12,66.9,5.8,4,10,2022-11-15T08:00:45,2022-11-15T17:57:33,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,F7959,08213099999,08223099999,08215099999"
madrid,2022-11-16,13.3,10.7,12.2,13.3,10.7,12.2,10.8,91.7,3.614,100,8.33,rain,0,0,50,25.2,228.5,1011.8,83.6,10.4,41.9,3.7,3,10,2022-11-16T08:01:55,2022-11-16T17:56:45,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"08221099999,08224099999,LEMD,LEVS,LETO,08219099999,F7959,08213099999,08223099999,08215099999"
madrid,2022-11-17,16.5,11.7,14.3,16.5,11.7,14.3,12.4,88.6,2.42,100,12.5,rain,0,0,53.6,35.4,233,1009.9,80.6,10.5,61.2,5.2,4,10,2022-11-17T08:03:05,2022-11-17T17:55:59,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-11-18,12.4,7.5,10.2,12.4,4.4,9.2,5.8,75.7,0.456,100,58.33,rain,0,0,46.8,26.4,269.8,1012.9,47.4,14.7,102,8.9,5,10,2022-11-18T08:04:14,2022-11-18T17:55:15,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-11-19,10.8,5,7.8,10.8,1.3,5.6,1.2,63.6,0.036,100,12.5,rain,0,0.4,46.4,25.1,280.7,1019.2,47.4,15,80.5,6.8,5,10,2022-11-19T08:05:24,2022-11-19T17:54:33,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"08221099999,08224099999,LEMD,LEVS,D4212,08226099999,08213099999,F7959,08219099999,08223099999,08215099999"
madrid,2022-11-20,16.1,5.3,10,16.1,2.7,8.8,6.2,78.3,0.16,100,50,rain,0,0.2,33.1,21.3,255.9,1022.8,42.3,14.6,71,6.1,4,10,2022-11-20T08:06:32,2022-11-20T17:53:53,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,08213099999,F7959,08219099999,08223099999,08215099999"
madrid,2022-11-21,13.5,6.8,11.5,13.5,2.6,10.8,8.9,85,6.159,100,45.83,rain,0,0,100.1,36.2,243.7,1015.4,84.4,13.5,23,1.9,2,10,2022-11-21T08:07:41,2022-11-21T17:53:15,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,08213099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-11-22,11.5,5.5,8,11.5,1.8,5.1,4.4,78.8,1.113,100,54.17,rain,0,0,101.9,32.4,231.9,1016.1,86.9,14.3,49.8,4.3,3,10,2022-11-22T08:08:49,2022-11-22T17:52:39,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-11-23,16.3,11.6,13.8,16.3,11.6,13.8,12.2,90.3,0.643,100,54.17,rain,0,0,96.5,39.6,234.7,1013.9,75.1,14.3,50,4.4,4,10,2022-11-23T08:09:56,2022-11-23T17:52:05,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08215099999"
madrid,2022-11-24,13.8,9.3,11.8,13.8,8.1,11.6,10.6,92.4,0.711,100,25,rain,0,0,43.2,19.3,225,1018.6,90.6,11.6,25.1,2.1,1,10,2022-11-24T08:11:03,2022-11-24T17:51:33,0.02,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,F7959,08223099999,08215099999"
madrid,2022-11-25,13.9,7,11.2,13.9,6.2,11.1,6.1,72.6,3.72,100,20.83,rain,0,0,36.7,22.2,294.2,1024.6,50.9,15.7,121,10.4,5,10,2022-11-25T08:12:09,2022-11-25T17:51:04,0.05,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,LETO,08219099999,F7959,08223099999,08215099999"
madrid,2022-11-26,13,3,6.8,13,3,6.7,2.4,74.8,0,0,0,,0,0,10.8,5.2,359.9,1030.5,58.9,15.8,114.4,9.9,5,10,2022-11-26T08:13:15,2022-11-26T17:50:36,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,LETO,F7959,08219099999,08223099999,08215099999"
madrid,2022-11-27,13.3,2.5,7.7,13.3,2.5,7.5,3.6,76.7,0.005,100,4.17,rain,0,0,14,14.6,283.2,1025,92,14.3,105.5,9,5,10,2022-11-27T08:14:20,2022-11-27T17:50:11,0.12,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,F7959,08219099999,08223099999,08215099999"
madrid,2022-11-28,11.6,4.7,8.2,11.6,2.5,6.3,2.9,70.8,3.389,100,20.83,rain,0,0,48.2,26.7,289.9,1022.7,37.3,13.9,75.3,6.4,4,10,2022-11-28T08:15:24,2022-11-28T17:49:48,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,F7959,08223099999,08215099999"
